[NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 7ms
3VM17:46 [NutexbCache] RGBA-INFLIGHT "nutexb"
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 454ms
VM17:46 [NutexbCache] RGBA-INFLIGHT "nutexb"
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 510ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 789ms
2VM17:46 [NutexbCache] RGBA-L1-HIT "nutexb"
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 950ms
27VM17:46 [NutexbCache] RGBA-L1-HIT "nutexb"
VM17:46 [NutexbCache] RGBA-INFLIGHT "nutexb"
4VM17:46 [NutexbCache] RGBA-L1-HIT "nutexb"
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 735ms
44VM17:46 [NutexbCache] RGBA-L1-HIT "nutexb"
3VM17:46 [NutexbCache] RGBA-INFLIGHT "nutexb"
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 191ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 456ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 534ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 786ms
3VM17:46 [NutexbCache] RGBA-L1-HIT "nutexb"
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 1006ms
35VM17:46 [NutexbCache] RGBA-L1-HIT "nutexb"
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 318ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 27ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 66ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 201ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 271ms
2VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 269ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 269ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 348ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 218ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x256 512KB in 413ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x256 512KB in 301ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x256 512KB in 295ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x256 512KB in 335ms
2VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 64x64 16KB in 336ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 211ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 220ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 276ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 422ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 412ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 478ms
VM17:46 [NutexbCache] RGBA-INFLIGHT "nutexb"
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 480ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 482ms
2VM17:46 [NutexbCache] RGBA-L1-HIT "nutexb"
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 435ms
VM17:46 [NutexbCache] RGBA-L1-HIT "nutexb"
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 187ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 38ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 215ms
2VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 216ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 390ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 392ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 398ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 218ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 168ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 222ms
2VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 265ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 260ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 261ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 262ms
VM17:46 [NutexbCache] RGBA-L1-HIT "nutexb"
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 408ms
3VM17:46 [NutexbCache] RGBA-L1-HIT "nutexb"
VM17:46 [NutexbCache] RGBA-INFLIGHT "nutexb"
VM17:46 [NutexbCache] RGBA-L1-HIT "nutexb"
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 456ms
24VM17:46 [NutexbCache] RGBA-L1-HIT "nutexb"
VM17:46 [NutexbCache] RGBA-INFLIGHT "nutexb"
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 207ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 45ms
VM17:46 [NutexbCache] RGBA-INFLIGHT "nutexb"
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 401ms
VM17:46 [NutexbCache] RGBA-INFLIGHT "nutexb"
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 396ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 399ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 404ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 410ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 9ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 369ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 374ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x1024 8192KB in 561ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 4096x2048 32768KB in 1134ms
VM17:46 [SceneEdit:Decode] DONE total=689 resolved=689 errors=0 elapsed=61.1s
